,utterance,classes,prompt,bigscience/T0pp
748,how do i retrieve a trapped card from a atm?,"['retrieve card', 'trapped card', 'trapped atm']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",retrieve card trapped atm trapped card.?
749,my card is stuck in the atm what can i do?,['do atm'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",run away with my money and not pay my bills
750,i was getting cash and can't get my card back,"['get card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get cash back..get card back...get cash
751,if my card is trapped in the atm what do i do?,['do atm'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do atm at home at night..
752,my card has been swallowed by an atm,['swallowed atm'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",swallowed atm. a robber stole the card
753,i was taking out funds and was unable to regain my card,"['regain card', 'regain card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",take out funds and was unable to regain my card.
754,what should i do with my atm that got stuck?,['stuck atm'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stuck atm?.. need help!
755,the atm at metro bank on high st kensington didn't return my card what should i do now that the bank is closed?,"['return card', 'st kensington', 'high kensington', 'closed bank']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",return card st kensington
756,there is more than one of the same transaction on my account,"['same transaction', 'is account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",yes it's wrong and has to change
757,i have a duplicate payment showing,"['have ', 'payment showing', 'duplicate showing', 'showing payment']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have showing payment duplicate showing.?.png
758,i made a payment that got charged twice instead of once,"['made payment', 'charged payment']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",made payment charged payment twice instead of once.
759,what are my remedies if i think i was charged twice for the same expense?,"['same expense', 'charged expense']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charged expense same expense..????????
760,can i verify the source of my funds?,"['verify source', 'verify funds']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify source of funds...........
761,i want information about the source of funds,"['want information', 'want funds']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",want information about the source of funds..
762,where are my funds being sourced from?,['sourced funds'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",sourced funds from where you live..
763,i would like to verify the source of my money,"['verify source', 'verify money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify money verify source.. i would like to verify the source of my money
764,where to funds come from,['come funds'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",come funds from.. where do funds come from
765,what is the source of my funds,[' funds'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",source of funds for my trip to china.
766,i need to verify my source of funds,"['verify source', 'verify funds']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",confirm source of funds verify funds.save
